295.4,1507,42,5.1,35.88,42.24,92,46,871,Technical Skills
791.3,3451,90,4.36,38.34,52.77,235,61,2677,Technical Skills
213.5,1279,41,5.98,31.2,31.29,124,16,606,Technical Skills
10.2,70,0,6.77,0,0,7,1,38,Technical Skills
684.4,3429,118,5.01,29.06,34.81,353,28,2645,Technical Skills
38,212,9,5.58,23.56,25.33,18,4,115,Technical Skills
42.2,216,5,5.1,43.2,50.8,25,2,157,Technical Skills
20.2,146,4,7.18,36.5,30.5,19,2,57,Technical Skills
81.5,383,9,4.68,42.56,54.56,30,3,256,Technical Skills
160.2,856,34,5.34,25.18,28.29,88,12,529,Technical Skills
0.2,1,1,3,1,2,0,0,1,Tactics and Strategy
20,104,3,5.2,34.67,40,11,0,70,Technical Skills
21,105,2,5,52.5,63,12,1,66,Technical Skills
20,70,2,3.5,35,60,3,1,70,Technical Skills
830.5,4618,195,5.56,23.68,25.56,520,93,2898,Technical Skills
304.1,1549,68,5.09,22.78,26.84,194,24,1151,Technical Skills
39,190,7,4.87,27.14,33.43,13,5,119,Technical Skills
188.2,969,17,5.15,57,66.47,66,18,532,Technical Skills
33,147,4,4.45,36.75,49.5,8,4,106,Technical Skills
38,191,7,5.03,27.29,32.57,20,0,113,Technical Skills
7.1,39,0,5.44,0,0,3,1,24,Technical Skills
342.1,2059,48,6.02,42.9,42.77,174,38,939,Technical Skills
131.4,646,16,4.91,40.38,49.38,39,7,358,Technical Skills
360.3,2083,59,5.78,35.31,36.66,221,42,1229,Technical Skills
253.3,1369,37,5.4,37,41.11,155,20,943,Technical Skills
364.5,2009,56,5.51,35.88,39.09,164,38,1100,Technical Skills
17.5,79,4,4.43,19.75,26.75,3,1,51,Technical Skills
59,293,3,4.97,97.67,118,18,5,172,Technical Skills
8,64,0,8,0,0,7,2,22,Technical Skills
583.4,2354,100,4.03,23.54,35.02,154,46,2100,Technical Skills
6,31,1,5.17,31,36,3,0,18,Tactics and Strategy
13,76,2,5.85,38,39,5,2,44,Technical Skills
234.4,965,45,4.11,21.44,31.29,83,8,900,Technical Skills
218,980,24,4.5,40.83,54.5,72,14,725,Technical Skills
24,143,3,5.96,47.67,48,8,6,75,Technical Skills
11,50,1,4.55,50,66,5,1,45,Tactics and Strategy
279.2,1353,46,4.84,29.41,36.43,140,20,1016,Technical Skills
2.2,22,0,9.43,0,0,3,1,6,Technical Skills
9,38,2,4.22,19,27,5,0,36,Technical Skills
37.1,238,6,6.4,39.67,37.17,31,2,119,Technical Skills
18,104,3,5.78,34.67,36,9,1,62,Technical Skills
16.1,101,2,6.25,50.5,48.5,13,2,53,Technical Skills
22,133,1,6.05,133,132,7,6,62,Tactics and Strategy
17.2,129,5,7.44,25.8,20.8,17,3,53,Technical Skills
8.5,66,0,7.47,0,0,7,1,24,Technical Skills
660.3,2857,100,4.33,28.57,39.63,215,51,2354,Technical Skills
39,217,5,5.56,43.4,46.8,29,5,160,Technical Skills
